liczba pkt.,graham otoczka,graham czas,jarvis otoczka,jarvis czas
100,14,0.0004665851593017578,14,0.0007052421569824219
1000,21,0.008962869644165039,21,0.009448766708374023
10000,27,0.09055304527282715,27,0.1563122272491455
100000,29,1.2850613594055176,29,1.236510992050171
1000000,37,12.289138078689575,37,13.07716178894043
